Text,Polarity,Label
online pc deal second crached,Depression,1
lucky cute girls town visit,Non Depression,0
sorry thanks hear pretty awww hungry,Non Depression,0
oh win date contact editing,Non Depression,0
really next mad hills loved ,Non Depression,0
still feeling busy dark migraine ,Depression,1
missed stupid spend replies tons,Depression,1
slept garden  blackberry happening ,Non Depression,0
hours thing kinda face worse,Depression,1
realized store june losing,Depression,1
left say broke empty,Depression,1
needs rest excited joy ,Non Depression,0
something wrong turned decided,Depression,1
wow times full minutes,Non Depression,0
back guess pain doctor,Non Depression,0
hell hurts hell doubt,Depression,1
way best pizza learn language,Non Depression,0
haha listening high puppy oooh,Non Depression,0
looks internet stuck goin hang,Non Depression,0
mean office happen problem confused ,Depression,1
stop watched months crying cousin,Depression,1
gone boring pics pics pics,Non Depression,0
hahaha mins files session ,Non Depression,0
little first baby cry screaming,Depression,1
think crap bar fish twit,Non Depression,0
work tired poor tough schedule ,Depression,1
time studying taking uni closed,Non Depression,0
last night wake shame miserable,Non Depression,0
longer yea heading failed middle,Non Depression,0
hate completely access websites fun,Non Depression,0
made end happened easy glasses third,Non Depression,0
wish come happy wait weather ,Non Depression,0
would make guys upset meet,Depression,1
know gon actually hurt keep ,Depression,1
today leave study sleepy,Non Depression,0
home someone fire kicked jumped,Depression,1
sounds horrible fair gabeatkins,Depression,1
days break door spring large,Non Depression,0
bed sick glad sitting,Non Depression,0
ouch pictures worked picked station,Depression,1
things terrible sadly killed drunk,Depression,1
whole trouble somebody assignment,Depression,1
right crazy screen pray shoot,Non Depression,0
working playing update gym picture,Non Depression,0
week food sometimes bet chicken,Non Depression,0
yesterday movie killing shop awwh,Depression,1
twitter phone tickets disappointed hotel,Non Depression,0
bit far suppose film ohh rains,Non Depression,0
always waiting seriously afternoon south,Non Depression,0
find summer job body spam,Depression,1
lost lose account delete photos,Depression,1
house show anymore family caught ,Non Depression,0
friend mind lonely ,Depression,1
anyway idea flash ,Non Depression,0
love money sweet anywhere,Non Depression,0
went ago finished drink milk,Non Depression,0
trying everyone updates youtube,Non Depression,0
might plan stress business massive,Depression,1
ill tell later badly v,Depression,1
hard stuff death finding test,Depression,1
tomorrow life nice enjoy eating,Non Depression,0
friends cleaning rip hurting shitty,Depression,1
school  sucks fall games cash brutal,Depression,1
good english well understand writer,Non Depression,0
want long head stay cough ignoring,Depression,1
sunday room years couple favorite,Non Depression,0
fail dead outta telling ages ,Depression,1
buy cool lunch background steak,Non Depression,0
awake suck bout scary crappy,Depression,1
away woke fight flu apparently,Depression,1
making making coffee,Non Depression,0
wanted headache unfortunately holiday,Non Depression,0
asleep fell thank forever wasnt sell,Non Depression,0
bored weird die shut loss needed,Depression,1
believe heart broken hoping,Depression,1
sad leaving parents lately,Depression,1
morning wants dream worried,Depression,1
damn please play song dance,Non Depression,0
sleep tonight tweets goodnight,Non Depression,0
ready shit  started reading bedtime,Non Depression,0
going already soon thought shopping,Non Depression,0
got thinking ate order clothes,Non Depression,0
need feel better seeing basically basically,Depression,1
breakfast walk happens hello ,Non Depression,0
maybe talk dinner amazing lovely,Non Depression,0
anything bank wonder shirt ,Depression,1
day bad catch falling stairs ,Depression,1
late outside computer hubby ,Non Depression,0
mis watching chocolate cream ,Non Depression,0
dream beautiful french accident ends  woken,Depression,1
missing girl found interesting,Non Depression,0
god party heard,Non Depression,0
tweet hopefully nearly website,Non Depression,0
monday wonderful breaking gossip,Non Depression,0
go exam finale afraid woman,Depression,1
guy magic reality usual,Non Depression,0
everything brother care annoying depressing,Depression,1
forgot cook allergies terribly,Non Depression,0
like watch two season,Non Depression,0
